Estacao_,Mes_,grad_e_mean,grad_e_std,grad_e_min,grad_e_max,grad_n_mean,grad_n_std,grad_n_min,grad_n_max,m_h_mean,m_h_std,m_h_min,m_h_max,m_w_orig_mean,m_w_orig_std,m_w_orig_min,m_w_orig_max,m_w_mean,m_w_std,m_w_min,m_w_max,zhd_mean,zhd_std,zhd_min,zhd_max,zwd_mean,zwd_std,zwd_min,zwd_max,x_0_mean,x_0_std,x_0_min,x_0_max,x_1_mean,x_1_std,x_1_min,x_1_max,x_2_mean,x_2_std,x_2_min,x_2_max,tot_delay_mean,tot_delay_std,tot_delay_min,tot_delay_max,tot_delay_abs_<lambda>
BRAZ,INVERNO,0.3151626749417595,10.005741233169815,-102.411096,113.59922,1.6433752693592172,13.59152309561944,-92.505601,114.616727,2.5014264856721984,1.5072427731234246,1.006298,7.645451,2.5286726915974245,1.5585314770407195,1.006308,8.005034,-4.534706117459387e-06,0.00031277885426147606,-0.002884,0.002608,2.09718218312176,0.0035097975835036146,2.0863,2.1072,0.08896663746069755,0.02013391502950909,0.0585,0.1403,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,5.470921837584845,3.300074126304303,2.174451,17.08299,5.470921837584849
CUIB,INVERNO,0.5624718032032775,15.333299211521073,-137.059523,139.585981,1.6865160383229543,16.086311598164244,-111.244234,139.604981,2.5681782121775947,1.6101774745747446,1.000616,7.637157,2.5973900513174444,1.6638659983405917,1.000617,7.980208,-9.113833743201132e-06,0.0005358274491722325,-0.006301,0.007039,2.239710687300184,0.004126063560727677,2.23,2.2518,0.14158284876968436,0.029920915948222188,0.0859,0.2251,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,6.119863623242921,3.84354141274826,2.330562,18.958828,6.1198636232429235
UFPR,INVERNO,-0.7215392651793856,13.103784934606937,-127.209432,127.848214,0.8856572521960395,12.697589657818057,-103.314361,129.145788,2.3931585077732653,1.505485720555408,1.000031,7.653449,2.416846171505253,1.5527936540574943,1.000032,7.992315,4.958644878972441e-07,0.000617200040129199,-0.007868,0.00706,2.1669629014540455,0.00833308099669165,2.1412,2.1871,0.11549237529849986,0.04389826532939791,0.0433,0.2117,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,5.464953973096652,3.4435936349068803,2.218272,18.214956,5.464953973096653
NAUS,INVERNO,-0.4133399138031363,18.43824562359199,-157.515564,154.946673,1.1224075249754366,16.426812809256344,-135.612908,142.9965,2.646909221338019,1.5299711063813173,1.000009,7.634535,2.6724605935329424,1.5752235918389794,1.000009,7.958888,3.201601115938705e-05,0.0007821520021368723,-0.006116,0.006718,2.300981335824123,0.002660728471505467,2.2946,2.3086,0.27528300373186243,0.04631432130138763,0.1268,0.3454,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,6.826147743191053,3.9568665513258683,2.436406,20.24401,6.8261477431910595
POAL,INVERNO,-0.5274025052554719,14.41169321764948,-145.321961,143.729274,0.8483669468344534,12.801842426974149,-117.85663,136.042565,2.3737610996133984,1.4978981146023784,1.000677,7.653593,2.3958614489318117,1.541136488326689,1.000678,7.996028,4.960352489229357e-06,0.0009083280509165275,-0.010759,0.011669,2.297132699267571,0.012034858306668473,2.2529,2.3257,0.11668917501449051,0.054637772140193795,0.0287,0.2395,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,5.732311343712284,3.623125943928599,2.348168,19.328946,5.732311343712285
PERC,INVERNO,1.01288401517934,19.302282862826406,-153.047598,153.557111,1.273019819079779,16.166208625214296,-129.303057,146.001381,2.701796645380225,1.5914048442213602,1.000074,7.634148,2.7327591155747455,1.6447530673990962,1.000074,7.969885,3.574198704819627e-05,0.0011607897014468199,-0.009555,0.010151,2.299791317477905,0.0027693922722826815,2.2909,2.3066,0.19687064207603067,0.034896696758222934,0.1434,0.2993,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,6.751534834807316,3.9850922943548066,2.44401,19.92126,6.751534834807321
ONRJ,INVERNO,0.7948637749184201,15.749746397423097,-142.549054,142.853967,1.2489346550011746,14.822387412921625,-112.424306,144.370739,2.4549808120742975,1.5376808227959855,1.0,7.640499,2.4809803714291343,1.5883092680394804,1.0,7.978091,8.407545573772714e-06,0.0006550317195925055,-0.005962,0.007931,2.280678187893677,0.008090662698302642,2.2542,2.3023,0.14312782472831567,0.026834252539822048,0.0984,0.2164,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,5.954117655988264,3.735095490153981,2.377242,19.199862,5.954117655988266
SSA1,INVERNO,-1.9577664791548108,13.601450533822323,-151.720546,138.542915,3.655534507452822,19.059759231258415,-125.342635,154.128735,2.571721902948777,1.5543627646963052,1.00031,7.635164,2.599991909891117,1.6062385869037494,1.00031,7.971602,6.163130870754463e-05,0.0008190998355170314,-0.007915,0.007926,2.3173781936810505,0.0034460895991582,2.3049,2.3265,0.18556045800661455,0.029980875623389375,0.1166,0.2832,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,6.442247488791684,3.901724801194115,2.436437,19.916544,6.442247488791674
SAGA,INVERNO,0.39231304121223687,12.099847994795617,-143.10631,153.527896,-1.3315459638369143,8.293897519126013,-134.691216,123.896625,2.3347197644900892,1.2167689429362736,1.001412,7.634297,2.34937508312621,1.2441060983981467,1.001414,7.924473,-4.774902349568067e-05,0.0006101767666307949,-0.005713,0.005509,2.2899101513193822,0.002644425278721641,2.2828,2.2963,0.31343885386567866,0.029703146774944407,0.1741,0.3511,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,6.082377280614821,3.1763243220324533,2.472519,20.251711,6.082377280614823
POLI,INVERNO,0.029441114912365812,12.025033880525644,-128.779407,129.20289,1.3092895632245918,13.413741405550457,-103.988531,131.034215,2.3972930004971085,1.4790537679502576,1.002336,7.648158,2.420738478523468,1.5253366586942578,1.00234,7.992279,4.677611140144079e-06,0.0006402334532876522,-0.010487,0.010983,2.1938708334259593,0.007164818857201932,2.1707,2.2108,0.1204314767955628,0.03307191804743423,0.0652,0.1923,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,5.550961322570939,3.4300982760963765,2.278006,18.30038,5.550961322570939
