Estacao,Periodo,DOY,DataReferencia,RMSE_E,RMSE_Y,RMSE_Z
PERC,VERAO,13,2020-01-15,0.12782462897937366,0.11140636229455242,0.0316419920566075
PERC,VERAO,14,2020-01-15,0.14463767444872003,0.14296518925745083,0.06460668747146173
PERC,VERAO,15,2020-01-15,0.12349819862850754,0.10982472877584545,0.03342051731221004
PERC,VERAO,16,2020-01-15,0.11018702888928102,0.11140289631549498,0.03180523818728424
PERC,VERAO,17,2020-01-15,0.12844193321489553,0.09905749464628752,0.02640341143645407
PERC,VERAO,18,2020-01-15,0.11818906986598574,0.09380641752070872,0.02905957431216862
PERC,VERAO,19,2020-01-22,0.12782304064366143,0.08294355746581812,0.030081481924456654
PERC,VERAO,20,2020-01-22,0.10983121366352039,0.08757956281814433,0.027969874325947584
PERC,VERAO,21,2020-01-22,0.1187924032850185,0.09284919401385494,0.031003307479334944
PERC,VERAO,22,2020-01-22,0.13172246690612396,0.10823770811909315,0.0316971266940362
PERC,VERAO,23,2020-01-22,0.11582033752353693,0.08517099484562694,0.02759267671813414
PERC,VERAO,24,2020-01-22,0.12131757305458996,0.0962503395765287,0.02732800108698623
PERC,VERAO,25,2020-01-22,0.10986370629758842,0.0950653403897339,0.02939999979532583
PERC,VERAO,26,2020-01-29,0.11653496010642006,0.1087960504040381,0.03438982964924777
PERC,VERAO,27,2020-01-29,0.1100137117145665,0.09052382171078881,0.02574716811366845
PERC,VERAO,28,2020-01-29,0.10771198515386807,0.10506399829809467,0.02971214083122566
PERC,VERAO,29,2020-01-29,0.12109337403361256,0.10150405820607102,0.029679085230641198
PERC,VERAO,30,2020-01-29,0.1218464754360723,0.09389459196127098,0.028247701350324707
PERC,VERAO,31,2020-01-29,0.11830883933397787,0.10399188801934692,0.026449492204023546
ONRJ,VERAO,1,2020-01-01,0.10370938886701517,0.11061667516238745,0.05352307029742369
ONRJ,VERAO,2,2020-01-01,0.10197629628701177,0.09850685908040033,0.0424492437152943
