Mes_Pasta,Estacao,Arquivo,DOY,Data,Mes_Arquivo
VERAO,CUIB,cuib015_delays.txt,15,2020-01-15,January
VERAO,UFPR,ufpr010_delays.txt,10,2020-01-10,January
VERAO,UFPR,ufpr015_delays.txt,15,2020-01-15,January
VERAO,UFPR,ufpr018_delays.txt,18,2020-01-18,January
VERAO,UFPR,ufpr029_delays.txt,29,2020-01-29,January
VERAO,UFPR,ufpr016_delays.txt,16,2020-01-16,January
VERAO,UFPR,ufpr002_delays.txt,2,2020-01-02,January
VERAO,UFPR,ufpr007_delays.txt,7,2020-01-07,January
VERAO,UFPR,ufpr024_delays.txt,24,2020-01-24,January
VERAO,UFPR,ufpr030_delays.txt,30,2020-01-30,January
VERAO,UFPR,ufpr025_delays.txt,25,2020-01-25,January
VERAO,UFPR,ufpr005_delays.txt,5,2020-01-05,January
VERAO,UFPR,ufpr012_delays.txt,12,2020-01-12,January
VERAO,UFPR,ufpr022_delays.txt,22,2020-01-22,January
VERAO,UFPR,ufpr017_delays.txt,17,2020-01-17,January
VERAO,UFPR,ufpr028_delays.txt,28,2020-01-28,January
VERAO,UFPR,ufpr011_delays.txt,11,2020-01-11,January
VERAO,UFPR,ufpr019_delays.txt,19,2020-01-19,January
VERAO,UFPR,ufpr020_delays.txt,20,2020-01-20,January
VERAO,UFPR,ufpr026_delays.txt,26,2020-01-26,January
VERAO,UFPR,ufpr009_delays.txt,9,2020-01-09,January
VERAO,UFPR,ufpr013_delays.txt,13,2020-01-13,January
VERAO,UFPR,ufpr008_delays.txt,8,2020-01-08,January
VERAO,UFPR,ufpr031_delays.txt,31,2020-01-31,January
VERAO,UFPR,ufpr027_delays.txt,27,2020-01-27,January
VERAO,UFPR,ufpr021_delays.txt,21,2020-01-21,January
VERAO,UFPR,ufpr006_delays.txt,6,2020-01-06,January
VERAO,UFPR,ufpr004_delays.txt,4,2020-01-04,January
VERAO,UFPR,ufpr014_delays.txt,14,2020-01-14,January
VERAO,UFPR,ufpr001_delays.txt,1,2020-01-01,January
VERAO,UFPR,ufpr003_delays.txt,3,2020-01-03,January
VERAO,UFPR,ufpr023_delays.txt,23,2020-01-23,January
VERAO,NAUS,naus012_delays.txt,12,2020-01-12,January
VERAO,NAUS,naus010_delays.txt,10,2020-01-10,January
VERAO,NAUS,naus007_delays.txt,7,2020-01-07,January
