Estacao,Periodo,DOY,DataReferencia,RMSE_E,RMSE_N,RMSE_U
SSA1,VERAO,31,2020-01-29,0.20191503786275442,0.2792121625163271,0.26042152453890227
SSA1,VERAO,2,2020-01-01,0.625183778700785,0.1919667744693256,0.16625352524584114
SSA1,VERAO,22,2020-01-22,0.3373824204102095,0.3029158584049803,0.1465047255922276
SSA1,VERAO,25,2020-01-22,0.11294895771732173,0.4513768531438286,0.15542608396865634
SSA1,VERAO,9,2020-01-08,0.6498593379718223,0.19024932988575458,0.11211115093754467
SSA1,VERAO,4,2020-01-01,0.5917656312408035,0.1465106071878091,0.21006378844223778
SAGA,VERAO,29,2020-01-29,0.2628827250452724,0.3788985632734823,0.08228852670214697
SAGA,VERAO,28,2020-01-29,0.3315834756928964,0.382645832129117,0.1932934962197045
SAGA,VERAO,26,2020-01-29,0.2639348736481088,0.5261763264510102,0.16655102595403154
SAGA,VERAO,15,2020-01-15,0.29625020728108176,0.24394052039121364,0.1311599452097561
SAGA,VERAO,4,2020-01-01,0.4260486223937049,0.29045557519057114,0.09803728320439802
SAGA,VERAO,31,2020-01-29,0.4214249186047118,0.8915940002507021,0.10283565358179889
SAGA,VERAO,24,2020-01-22,0.2944693443989147,0.3522058498860546,0.10163873883016133
SAGA,VERAO,30,2020-01-29,0.3690500676332789,0.6967249537499367,0.09734666798705023
SAGA,VERAO,23,2020-01-22,0.26584743547464845,0.46641453264442295,0.1712613602715003
SAGA,VERAO,20,2020-01-22,0.35170262415937703,0.3406200029477913,0.2142934435542237
SAGA,VERAO,16,2020-01-15,0.5812166694517652,0.6050314507521767,0.12814537800941053
SAGA,VERAO,11,2020-01-08,0.3340768555996258,0.33179914211234174,0.12655337704286226
SAGA,VERAO,27,2020-01-29,0.2755419290388746,0.28282967815054566,0.1550926248798042
SAGA,VERAO,5,2020-01-08,0.5156433723503214,0.25187471454330657,0.17916008981206888
SAGA,VERAO,17,2020-01-15,0.5256553942289236,0.5203977080335578,0.10244296173106772
SAGA,VERAO,2,2020-01-01,0.38752282006065303,0.2606706815568241,0.07928919002547721
SAGA,VERAO,3,2020-01-01,0.38286652512682007,0.25841489821640384,0.09747674929330466
SAGA,VERAO,1,2020-01-01,0.22627577690629785,0.2835376490590449,0.08051188287973676
SAGA,VERAO,9,2020-01-08,0.3265106529309479,0.21181508390548118,0.13024439931450546
SAGA,VERAO,10,2020-01-08,0.33322459381087066,0.32706491240312524,0.11969826223080768
SAGA,VERAO,19,2020-01-22,0.616910864033697,0.48161695362192913,0.1538519487065672
SAGA,VERAO,13,2020-01-15,0.36464444705637583,0.13547230716875042,0.12185388355052947
SAGA,VERAO,12,2020-01-15,0.3727734535342132,0.46400439498785145,0.1398911105972032
SAGA,VERAO,6,2020-01-08,0.31944667082153594,0.22231966902203018,0.3035614376944074
SAGA,VERAO,14,2020-01-15,0.269801966266959,0.34153997807382136,0.15628399600159149
SAGA,VERAO,25,2020-01-22,0.2559906241854971,0.3260921954091318,0.1041555575403026
SAGA,VERAO,8,2020-01-08,0.3463568659576657,0.2532003588471833,0.12598339148115012
SAGA,VERAO,21,2020-01-22,0.3765826921446672,0.7290551473966194,0.10700271525982967
SAGA,VERAO,18,2020-01-15,0.4644267547678263,0.4482087234060289,0.14816267522297558
SAGA,VERAO,22,2020-01-22,0.34918408060863004,0.44447887354117127,0.10753839366697832
SAGA,VERAO,7,2020-01-08,0.40026115787803723,0.23643914336488395,0.23691587736969566
POLI,VERAO,28,2020-01-29,0.24931375652718105,0.26071907938116734,0.23337520192937533
POLI,VERAO,20,2020-01-22,0.26663316421064676,0.41843521581890797,0.29158887598339545
POLI,VERAO,21,2020-01-22,0.23502945264502656,0.4312046008243764,0.3187495890676303
POLI,VERAO,10,2020-01-08,0.2830416997901044,0.2973687576370676,0.16215193635992511
POLI,VERAO,31,2020-01-29,0.19553624212058832,0.5372639988522077,0.33849871834641027
POLI,VERAO,30,2020-01-29,0.19464272826140022,0.4069675182107003,0.3915574482539539
POLI,VERAO,17,2020-01-15,0.1475678424815211,0.3412172397645372,0.20566829550137541
POLI,VERAO,4,2020-01-01,0.3415918862573354,0.3290480417552595,0.12857314924722862
POLI,VERAO,15,2020-01-15,0.20177889103023583,0.30753228812926026,0.22830728152999458
POLI,VERAO,5,2020-01-08,0.22925384249410696,0.2770896768523882,0.19073808116978166
POLI,VERAO,23,2020-01-22,0.36166277683955766,0.6810762364319557,0.49244685582376163
POLI,VERAO,27,2020-01-29,0.28669408218375336,0.4055268865816484,0.25014225532356416
POLI,VERAO,8,2020-01-08,0.2089559726990497,0.27532329677616235,0.2012359079254539
POLI,VERAO,22,2020-01-22,0.2804061992231407,0.5487710275539848,0.3461294049432542
POLI,VERAO,6,2020-01-08,0.3213068782020607,0.33695235928916784,0.22308424184596512
POLI,VERAO,3,2020-01-01,0.2741057623088665,0.2426017678990088,0.2348951270652675
