Estacao,Periodo,DOY,DataReferencia,RMSE_X,RMSE_Y,RMSE_Z
POAL,VERAO,17,2020-01-15,0.09116777447544662,0.13498578161460284,0.08635356798504978
POAL,VERAO,27,2020-01-29,0.07766513409024736,0.1427167024459183,0.09443999293007767
POAL,VERAO,19,2020-01-22,0.09897148063878336,0.12553939834393493,0.0881514816023255
POAL,VERAO,24,2020-01-22,0.06627597102736986,0.09338086074201521,0.06074195022199664
POAL,VERAO,25,2020-01-22,0.06548563608018379,0.09721201761848366,0.06293094777216689
POAL,VERAO,2,2020-01-01,0.12687523390723163,0.1830048426227093,0.0994125628545136
POAL,VERAO,12,2020-01-15,0.12832880757820786,0.16295781715276278,0.09594851569746782
POAL,VERAO,9,2020-01-08,0.11499343713358627,0.16126760005957252,0.09699772396739556
POAL,VERAO,28,2020-01-29,0.12572596962195529,0.16203849607901943,0.11880569508503029
POAL,VERAO,13,2020-01-15,0.09664105020314671,0.14141433969885828,0.08846714845967915
POAL,VERAO,20,2020-01-22,0.09835492008518809,0.13498667823395602,0.09480271216760217
POAL,VERAO,11,2020-01-08,0.11694342578878572,0.15717745331062646,0.09821862703331834
POAL,VERAO,3,2020-01-01,0.11402700949366748,0.15206210314486748,0.09024844667184688
POAL,VERAO,23,2020-01-22,0.14025517947813088,0.17623367820301258,0.11386914035383147
POAL,VERAO,22,2020-01-22,0.07859400404299166,0.15668454783202185,0.09981820394474238
POAL,VERAO,15,2020-01-15,0.14020315194126473,0.17543695351746302,0.11039014054223792
POAL,VERAO,7,2020-01-08,0.13488869138420434,0.1974183254587695,0.11867763196631959
POAL,VERAO,30,2020-01-29,0.08216451657248067,0.12811515434783372,0.08433036114632735
POAL,VERAO,4,2020-01-01,0.13096393911411255,0.19350400322738295,0.10992424112448058
POAL,VERAO,5,2020-01-08,0.12663198152540248,0.161356853924173,0.10608197819010742
POAL,VERAO,10,2020-01-08,0.15508199066344006,0.1736246946090313,0.1212166051565964
PERC,VERAO,28,2020-01-29,0.17965250659725057,0.14151382736128212,0.037668812410595304
PERC,VERAO,13,2020-01-15,0.2175393971364647,0.15285507548975846,0.04899138774724815
PERC,VERAO,2,2020-01-01,0.20279440545429342,0.1415991064559516,0.08215013284185751
PERC,VERAO,19,2020-01-22,0.24095220635087822,0.14455051513771985,0.04485619165132424
PERC,VERAO,27,2020-01-29,0.19524562774958293,0.14914885221668966,0.04036512711628279
PERC,VERAO,8,2020-01-08,0.21162069851768375,0.17011048534580414,0.04942473540010103
PERC,VERAO,23,2020-01-22,0.21304160336311215,0.138560154158878,0.04666880677195456
PERC,VERAO,4,2020-01-01,0.19946382792368492,0.15141631491996088,0.04054585559914928
PERC,VERAO,12,2020-01-15,0.19868928658893797,0.15588452470073752,0.03960289015224767
PERC,VERAO,18,2020-01-15,0.1982480362536374,0.1346481988680107,0.03465505403427704
PERC,VERAO,22,2020-01-22,0.25178972798139426,0.1842398414527497,0.05689768281973029
PERC,VERAO,9,2020-01-08,0.27454360548277135,0.18201391002691342,0.06002560269510871
