Estacao_,Mes_,grad_e_mean,grad_e_std,grad_e_min,grad_e_max,grad_n_mean,grad_n_std,grad_n_min,grad_n_max,m_h_mean,m_h_std,m_h_min,m_h_max,m_w_orig_mean,m_w_orig_std,m_w_orig_min,m_w_orig_max,m_w_mean,m_w_std,m_w_min,m_w_max,zhd_mean,zhd_std,zhd_min,zhd_max,zwd_mean,zwd_std,zwd_min,zwd_max,x_0_mean,x_0_std,x_0_min,x_0_max,x_1_mean,x_1_std,x_1_min,x_1_max,x_2_mean,x_2_std,x_2_min,x_2_max,tot_delay_mean,tot_delay_std,tot_delay_min,tot_delay_max,tot_delay_abs_<lambda>
BRAZ,INVERNO,-0.024702476491093785,0.10373379524039147,-0.367,0.237,-0.01825494346650375,0.1169289745044683,-0.346,0.296,2.5014264856721984,1.5072427731233753,1.006298,7.645451,2.5286726915974245,1.558531477040658,1.006308,8.005034,0.0,0.0,0.0,0.0,2.09718218312176,0.0035097975834012273,2.0863,2.1072,0.08896663746069755,0.020133915029511406,0.0585,0.1403,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,5.470921837483169,3.3000741248661014,2.174451,17.082991,5.470921837483174
CUIB,INVERNO,-0.1373482038446656,0.14684950546557654,-0.717,0.203,-0.04086057449326647,0.175940367160128,-0.662,0.508,2.5681782121775947,1.610177474574801,1.000616,7.637157,2.5973900513174444,1.663865998340475,1.000617,7.980208,0.0,0.0,0.0,0.0,2.239710687300184,0.0041260635607138696,2.23,2.2518,0.14158284876968436,0.02992091594822509,0.0859,0.2251,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,6.11986362377523,3.843541411760061,2.330562,18.958829,6.119863623775233
UFPR,INVERNO,-0.042659411263229044,0.16111182996452764,-0.494,0.606,0.22306977979096934,0.30246679538825616,-0.824,1.364,2.3931585077802544,1.505485720573008,1.000031,7.653449,2.4168461715127076,1.5527936540769784,1.000032,7.992315,0.0,0.0,0.0,0.0,2.1669629014540455,0.008333080996635883,2.1412,2.1871,0.11549237529849986,0.04389826532939788,0.0433,0.2117,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,5.4649539737944455,3.443593634779185,2.218272,18.214954,5.464953973794441
NAUS,INVERNO,-0.15469351439484746,0.1732670269787586,-0.609,0.384,0.14032310162044523,0.22421493734318007,-0.745,0.785,2.646909221338019,1.5299711063812154,1.000009,7.634535,2.6724605935329424,1.5752235918389739,1.000009,7.958888,0.0,0.0,0.0,0.0,2.300981335824123,0.002660728471536505,2.2946,2.3086,0.27528300373186243,0.0463143213013858,0.1268,0.3454,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,6.826147743467823,3.95686654962763,2.436407,20.24401,6.826147743467819
POAL,INVERNO,-0.00912128471195899,0.2583324021699989,-0.803,1.201,0.4474336238718111,0.4040480190262385,-0.51,1.722,2.3737610996133984,1.4978981146021781,1.000677,7.653593,2.3958614489318117,1.54113648832653,1.000678,7.996028,0.0,0.0,0.0,0.0,2.297132699267571,0.012034858306743675,2.2529,2.3257,0.11668917501449051,0.05463777214019697,0.0287,0.2395,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,5.732311343889652,3.623125943166623,2.348168,19.32895,5.732311343889646
PERC,INVERNO,-0.13983692539423617,0.26264848694940734,-0.823,0.862,0.27455630055338937,0.3336001768557514,-0.43,1.244,2.701796645380225,1.5914048442212516,1.000074,7.634148,2.7327591155747455,1.6447530673990094,1.000074,7.969885,0.0,0.0,0.0,0.0,2.299791317477905,0.002769392272253294,2.2909,2.3066,0.19687064207603067,0.03489669675822379,0.1434,0.2993,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,6.751534835558977,3.985092293427207,2.444011,19.921263,6.751534835558979
ONRJ,INVERNO,-0.04588325794944736,0.14959392558471002,-0.596,0.418,0.2726487638610506,0.29465101286700623,-0.387,1.269,2.4549808120744516,1.537680822795862,1.0,7.640499,2.4809803714294425,1.5883092680392643,1.0,7.978091,0.0,0.0,0.0,0.0,2.280678187893677,0.008090662698309659,2.2542,2.3023,0.14312782472831567,0.026834252539821975,0.0984,0.2164,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,5.954117656897753,3.735095491709209,2.377243,19.199863,5.95411765689775
SSA1,INVERNO,-0.12475214170514813,0.24435027470930834,-0.762,0.674,0.07629889504657336,0.258516723195939,-0.593,0.987,2.571721902948777,1.5543627646963918,1.00031,7.635164,2.599991909891117,1.6062385869037978,1.00031,7.971602,0.0,0.0,0.0,0.0,2.3173781936810505,0.0034460895991040522,2.3049,2.3265,0.18556045800661455,0.029980875623394833,0.1166,0.2832,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,6.442247489876382,3.901724801293603,2.436439,19.916548,6.442247489876379
SAGA,INVERNO,-0.13929290783189355,0.17217795718458856,-0.697,0.376,0.12810427438250918,0.21042748231894853,-0.356,0.814,2.3347197644900892,1.2167689429362891,1.001412,7.634297,2.34937508312621,1.2441060983981265,1.001414,7.924473,0.0,0.0,0.0,0.0,2.2899101513193822,0.0026444252787423445,2.2828,2.2963,0.31343885386567866,0.029703146774940452,0.1741,0.3511,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,6.082377280798983,3.176324321574358,2.472519,20.251709,6.082377280798982
POLI,INVERNO,0.011730630337929412,0.15065098239845737,-0.527,1.02,0.18976527668772802,0.3014704574416332,-0.467,1.48,2.3972930004906603,1.4790537679315157,1.002336,7.648158,2.4207384785164057,1.525336658673629,1.00234,7.992279,0.0,0.0,0.0,0.0,2.1938708334259593,0.007164818857311624,2.1707,2.2108,0.1204314767955628,0.03307191804743723,0.0652,0.1923,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,5.550961322864475,3.4300982755002933,2.278006,18.300376,5.55096132286447
